iter	RMSE
0	0.7112118083
1	0.6857172642
2	0.6616800441
3	0.6390356849
4	0.6177116142
5	0.5976107536
6	0.5787219652
7	0.5609661078
8	0.544286193
9	0.528692814
10	0.514014433
11	0.5002801154
12	0.4874694363
13	0.4754429462
14	0.4642024648
15	0.4537223681
16	0.4439584027
17	0.4348783655
18	0.4264082378
19	0.4185433625
20	0.4112560815
21	0.4045115239
22	0.3982553701
23	0.392460599
24	0.3870909283
25	0.3821541691
26	0.377581437
27	0.3733412894
28	0.3694536581
29	0.3658740894
30	0.3625621825
31	0.3594910152
32	0.35667992
33	0.3540777791
34	0.3516831556
35	0.3494963962
36	0.3474613267
37	0.3455938111
38	0.3438780425
39	0.3422600247
40	0.3407826039
41	0.339444087
42	0.3381983505
43	0.337049332
44	0.3359862509
45	0.3349839407
46	0.3340896158
47	0.3332584151
48	0.3324607128
49	0.3317447449
50	0.3310644543
51	0.3304386502
52	0.3298583428
53	0.3293146546
54	0.3288009235
55	0.3283208857
56	0.3278913207
57	0.3274766804
58	0.327101198
59	0.3267584659
60	0.3264084372
61	0.3260968334
62	0.3258116931
63	0.3255341828
64	0.3252721226
65	0.3250364308
66	0.3248107459
67	0.324591527
68	0.3243908953
69	0.3241994608
70	0.3240234285
71	0.3238483439
72	0.3236814991
73	0.3235215732
74	0.3233773129
75	0.3232457452
76	0.3230929416
77	0.3229543078
78	0.322815876
79	0.3226796569
80	0.322570116
81	0.3224550772
82	0.3223236944
83	0.3222217091
84	0.3221029627
85	0.3219999021
86	0.3219113996
87	0.3217909026
88	0.3217036455
89	0.3216128354
90	0.3215274818
91	0.3214414174
92	0.3213568559
93	0.3212711238
94	0.3211963753
95	0.321113258
96	0.3210185861
97	0.3209591156
98	0.3208803567
99	0.3208118874
100	0.3207500295
101	0.3206661096
102	0.3206136688
103	0.3205381016
104	0.3204781848
105	0.3204046266
106	0.3203604355
107	0.3202653311
108	0.3202172677
109	0.3201403386
110	0.3200747378
111	0.3200183535
112	0.3199718816
113	0.3199154407
114	0.3198132286
115	0.3197423712
116	0.3196846335
117	0.31962049
118	0.3195583493
119	0.3194965527
120	0.3193954652
121	0.3193428685
122	0.3192781212
123	0.3192111156
124	0.3191636276
125	0.3191169277
126	0.3190612911
127	0.3190010498
128	0.3189220822
129	0.3188402498
130	0.3187781259
131	0.3187214875
132	0.3186561178
133	0.3186132986
134	0.3185255813
135	0.3184663678
136	0.3184167489
137	0.3183238012
138	0.3182526488
139	0.3182063116
140	0.3181393365
141	0.3180700057
142	0.3180354956
143	0.3179894101
144	0.3179312913
145	0.3178861495
146	0.3178008421
147	0.3177439551
148	0.3176845436
149	0.3175912404
150	0.3175414789
151	0.3175047145
152	0.3174592231
153	0.3174141828
154	0.3173353824
155	0.3172853546
156	0.3172317026
157	0.3171738141
158	0.3171157986
159	0.3170735302
160	0.3170231874
161	0.3169795405
162	0.31693085
163	0.3169092867
164	0.3168637436
165	0.3168223208
166	0.3167441567
167	0.3166974379
168	0.316620897
169	0.3165658564
170	0.316498012
171	0.3164650152
172	0.3164159792
173	0.3163733844
174	0.3163251972
175	0.3162786236
176	0.3162390548
177	0.3161615932
178	0.3161273385
179	0.3160957497
180	0.3160537283
181	0.3159803622
182	0.3159362474
183	0.3158784971
184	0.315830078
185	0.3157938384
186	0.3157024011
187	0.3156395135
188	0.3155944808
189	0.3155410955
