iter	Passed	Remaining
0	75	136437
1	152	137463
2	229	138003
3	307	138642
4	382	137778
5	462	138758
6	534	137480
7	614	138000
8	697	139226
9	778	139729
10	860	140418
11	942	140922
12	1023	141146
13	1101	140938
14	1177	140640
15	1263	141322
16	1348	141945
17	1425	141607
18	1502	141312
19	1579	141058
20	1662	141313
21	1755	142395
22	1838	142493
23	1913	142110
24	1990	141798
25	2067	141546
26	2150	141666
27	2234	141877
28	2312	141709
29	2387	141310
30	2463	141082
31	2538	140749
32	2618	140702
33	2693	140383
34	2776	140478
35	2857	140499
36	2935	140338
37	3020	140535
38	3103	140624
39	3185	140654
40	3268	140702
41	3348	140655
42	3426	140476
43	3510	140568
44	3595	140689
45	3677	140692
46	3753	140474
47	3836	140495
48	3923	140696
49	3999	140447
50	4081	140435
51	4163	140446
52	4240	140259
53	4322	140243
54	4405	140244
55	4492	140394
56	4573	140323
57	4651	140176
58	4727	139982
59	4810	139973
60	4894	140017
61	4974	139920
62	5049	139711
63	5127	139572
64	5209	139538
65	5285	139334
66	5370	139384
67	5449	139286
68	5528	139183
69	5616	139285
70	5689	139042
71	5768	138927
72	5852	138941
73	5937	138960
74	6018	138902
75	6103	138928
76	6186	138915
77	6269	138889
78	6344	138694
79	6423	138579
80	6504	138531
81	6583	138418
82	6669	138450
83	6784	139072
84	6866	139034
85	6948	138969
86	7023	138775
87	7105	138726
88	7182	138557
89	7258	138390
90	7339	138319
91	7419	138233
92	7495	138065
93	7572	137924
94	7650	137787
95	7731	137717
96	7812	137647
97	7887	137475
98	7968	137390
99	8046	137278
100	8125	137162
101	8208	137122
102	8284	136980
103	8363	136871
104	8441	136745
105	8518	136615
106	8594	136472
107	8676	136407
108	8752	136268
109	8831	136167
110	8908	136038
111	9002	136159
112	9085	136127
113	9162	135990
114	9239	135861
115	9318	135764
116	9395	135639
117	9479	135601
118	9555	135463
119	9635	135374
120	9711	135245
121	9789	135133
122	9870	135062
123	9952	135000
124	10038	135003
125	10120	134945
126	10198	134830
127	10273	134677
128	10358	134657
129	10437	134563
130	10515	134451
131	10593	134342
132	10673	134259
133	10756	134220
134	10839	134164
135	10917	134055
136	10995	133957
137	11076	133886
138	11161	133863
139	11242	133779
140	11318	133656
141	11397	133564
142	11475	133447
143	11552	133334
144	11636	133296
145	11714	133197
146	11794	133111
147	11872	133009
148	11952	132925
149	12037	132895
150	12118	132824
151	12194	132699
152	12273	132607
153	12352	132508
154	12433	132436
155	12513	132351
156	12592	132257
157	12668	132138
158	12748	132056
159	12826	131953
160	12910	131912
161	12987	131794
162	13064	131691
163	13142	131582
164	13219	131478
165	13300	131406
166	13385	131366
167	13463	131268
168	13544	131200
169	13621	131083
170	13701	131004
171	13781	130925
172	13862	130848
173	13938	130732
174	14017	130643
175	14099	130576
176	14184	130543
177	14270	130522
178	14349	130431
179	14425	130307
180	14502	130197
181	14583	130129
182	14663	130051
183	14742	129961
